Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
CALI,China Auto Logistics Inc.,2.38,8792657.72,n/a,n/a,Consumer Services,Motor Vehicles,http://www.nasdaq.com/symbol/cali
CAAS,"China Automotive Systems, Inc.",6.34,177792740.5,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/caas
CBAK,"China BAK Battery, Inc.",1.41,17793631.77,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cbak
CBPO,"China Biologic Products, Inc.",23.52,633933266.4,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cbpo
CCCL,"China Ceramics Co., Ltd.",2.52,51485711.76,n/a,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cccl
CCCR,"China Commercial Credit, Inc.",8.751,90747870,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cccr
JRJC,China Finance Online Co. Limited,1.8055,40065987.72,n/a,2004,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/jrjc
CHOP,China Gerui Advanced Materials Group Limited,1.72,102446466.3,n/a,n/a,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/chop
HGSH,"China HGS Real Estate, Inc.",7.86,354093000,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/hgsh
CHLN,"China Housing & Land Development, Inc.",2.26,79295713.74,n/a,1984,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/chln
CNIT,"China Information Technology, Inc.",3.45,93176247.6,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnit
CJJD,"China Jo-Jo Drugstores, Inc.",0.57,7757131.14,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/cjjd
HTHT,"China Lodging Group, Limited",19.37,1183962641,n/a,2010,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/htht
CMGE,China Mobile Games and Entertainment Group Limited,15.45,334596555.8,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cmge
CHNR,"China Natural Resources, Inc.",4.33,107864266.3,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/chnr
CPSL,"China Precision Steel, Inc.",1.5001,5821687.087,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/cpsl
CREG,China Recycling Energy Corporation,1.75,87892612.5,n/a,1996,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/creg
CPGI,"China Shengda Packaging Group, Inc.",1.171,45424039.68,n/a,2010,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/cpgi
CSUN,"China Sunergy Co., Ltd.",2.39,35489805.49,n/a,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/csun
CNTF,China TechFaith Wireless Communication Technology Limited,1.22,64578926.12,n/a,2005,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cntf
CXDC,China XD Plastics Company Limited,4.19,200234954.7,n/a,n/a,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/cxdc
CNYD,"China Yida Holding, Co.",6.2,24270396,n/a,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/cnyd
CCIH,ChinaCache International Holdings Ltd.,5.48,139001389.2,n/a,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/ccih
CEDU,ChinaEdu Corporation,6.44,114692574.6,n/a,2007,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/cedu
CNET,"ChinaNet Online Holdings, Inc.",0.5,11113270,n/a,1996,Technology,Advertising,http://www.nasdaq.com/symbol/cnet
CHDX,"Chindex International, Inc.",16.57,285225656.9,n/a,1994,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/chdx
IMOS,ChipMOS TECHNOLOGIES (Bermuda) LTD.,16.45,553620588.2,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/imos
CHSCP,CHS Inc,32.86,237651997.9,n/a,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscp
CHDN,"Churchill Downs, Incorporated",81.46,1460160562,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/chdn
CHUY,"Chuy&#39;s Holdings, Inc.",36.205,590634756.9,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/chuy
CHYR,ChyronHego Corporation,1.62,48778310.16,n/a,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/chyr
CIEN,CIENA Corporation,20.84,2126780685,n/a,1997,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cien
CIFC,CIFC Corp.,8.1,168297207.3,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cifc
CIMT,"Cimatron, Limited",6.25,58511856.25,n/a,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/cimt
CINF,Cincinnati Financial Corporation,47.49,7772606712,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cinf
CIDM,Cinedigm Digital Cinema Corp,1.41,74704164.57,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cidm
CTAS,Cintas Corporation,48.51,5933762992,n/a,1983,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/ctas
CRUS,"Cirrus Logic, Inc.",20.48,1299553178,n/a,1989,Technology,Semiconductors,http://www.nasdaq.com/symbol/crus
CISAA,CIS Acquisition Ltd.,10.0301,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/cisaa
CISAU,CIS Acquisition Ltd.,10.29,53775540,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/cisau
CISAW,CIS Acquisition Ltd.,0.32,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/cisaw
CSCO,"Cisco Systems, Inc.",24.32,1.29974E+11,n/a,1990,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/csco
CTRN,"Citi Trends, Inc.",14.61,225633523.5,n/a,1995,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/ctrn
CZNC,Citizens & Northern Corp,19.89,245731104.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cznc
CZWI,"Citizens Community Bancorp, Inc.",7.31,37682253.21,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/czwi
CZFC,Citizens First Corporation,8.75,17226798.75,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/czfc
CIZN,Citizens Holding Company,18.1501,88393056.11,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cizn
CTXS,"Citrix Systems, Inc.",71.74,13442792356,n/a,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ctxs
CHCO,City Holding Company,44.47,697462366,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chco
CWEI,"Clayton Williams Energy, Inc.",49.36,600441497,n/a,1993,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cwei
CDTI,"Clean Diesel Technologies, Inc.",1.42,13191591.26,n/a,n/a,Capital Goods,Pollution Control Equipment,http://www.nasdaq.com/symbol/cdti
CLNE,Clean Energy Fuels Corp.,12.43,1110448046,n/a,2007,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/clne
CLNT,"Cleantech Solutions International, Inc.",5.43,19024015.86,n/a,1994,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clnt
CLFD,"Clearfield, Inc.",11.35,146392606.5,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/clfd
CLRO,"ClearOne, Inc.",8.36,75909301.6,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/clro
CLIR,ClearSign Combustion Corporation,8.36,73511695.4,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clir
CBLI,"Cleveland BioLabs, Inc.",1.63,73384212.07,n/a,2006,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/cbli
CKSW,ClickSoftware Technologies Ltd.,6.98,221798280.8,n/a,2000,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cksw
CSBK,"Clifton Savings Bancorp, Inc.",12.32,323302179.2,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/csbk
CLVS,"Clovis Oncology, Inc.",68.13,2055576937,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clvs
CME,CME Group Inc.,72.39,24199748537,n/a,2002,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cme
CMSB,"CMS Bancorp, Inc.",8.79,16374038.37,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/cmsb
CCNE,CNB Financial Corporation,17.15,214584984.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ccne
CISG,CNinsure Inc.,5.61,280180656.4,n/a,2007,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/cisg
COA           ,Coastal Contacts Inc                    ,4.98,160718768.1,n/a,n/a,Health Care,Ophthalmic Goods,http://www.nasdaq.com/symbol/coa           
COBZ,CoBiz Financial Inc.,9.55,384736819.9,n/a,1998,Finance,Major Banks,http://www.nasdaq.com/symbol/cobz
COBR,Cobra Electronics Corporation,2.5954,17157099.33,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/cobr
COKE,Coca-Cola Bottling Co. Consolidated,64.31,594893802.8,n/a,1972,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/coke
CDXS,"Codexis, Inc.",1.81,68940432.97,n/a,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cdxs
CVLY,"Codorus Valley Bancorp, Inc",18.2,82266238.6,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cvly
JVA,"Coffee Holding Co., Inc.",6.39,40719054.51,n/a,2005,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/jva
CCOI,"Cogent Communications Group, Inc.",32.28,1526634729,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ccoi
CGNX,Cognex Corporation,55.89,2431036208,n/a,1989,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cgnx
CTSH,Cognizant Technology Solutions Corporation,70.65,21291697595,n/a,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/ctsh
COGO,"Cogo Group, Inc.",2.31,73240097.7,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/cogo
COHR,"Coherent, Inc.",55.84,1365297884,n/a,1970,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/cohr
COHU,"Cohu, Inc.",10.44,260034769.8,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/cohu
CWTR,"Coldwater Creek, Inc.",2.65,80950806.1,n/a,1997,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/cwtr
CCIX,"Coleman Cable, Inc.",19.86,366985254.2,n/a,1993,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/ccix
JACQ,COLLABRIUM JAPAN ACQUISITION CORPORATION,10.19,57064000,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/jacq
JACQU,COLLABRIUM JAPAN ACQUISITION CORPORATION,10.29,57624000,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/jacqu
JACQW,COLLABRIUM JAPAN ACQUISITION CORPORATION,0.25,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/jacqw
CLRX,"CollabRx, Inc.",4.04,7889958.4,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clrx
CLCT,"Collectors Universe, Inc.",15.66,132950957,n/a,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/clct
COBK,"Colonial Financial Services, Inc.",14.11,54366648.38,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cobk
CBAN,"Colony Bankcorp, Inc.",6.6,55699102.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cban
COLB,"Columbia Banking System, Inc.",24.23,1242027644,n/a,1992,Finance,Major Banks,http://www.nasdaq.com/symbol/colb
CBRX,"Columbia Laboratories, Inc.",7.61,83377199.48,n/a,1988,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cbrx
COLM,Columbia Sportswear Company,57.81,1989326040,n/a,1998,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/colm
CMCO,Columbus McKinnon Corporation,21.97,431813693.1,n/a,1984,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/cmco
CBMX,CombiMatrix Corporation,2.9,13739640.3,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/cbmx
CBMXW,CombiMatrix Corporation,0.287,0,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/cbmxw
CMCSA,Comcast Corporation,42.69,1.12057E+11,n/a,1972,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cmcsa
CMCSK,Comcast Corporation,40.9,19708162221,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cmcsk
CBSH,"Commerce Bancshares, Inc.",45.59,4134899207,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbsh
CVGI,"Commercial Vehicle Group, Inc.",7.07,201760026,n/a,2004,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/cvgi
CTCH,Commtouch Software Ltd.,2.47,65095560.66,n/a,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/ctch
JCS,"Communications Systems, Inc.",11.24,96081790.48,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/jcs
CBIN,"Community Bank Shares of Indiana, Inc.",18.02,61068644.74,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbin
ESXB,Community Bankers Trust Corporation.,3.7,80264318.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/esxb
CTBI,"Community Trust Bancorp, Inc.",39.36,617857378.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ctbi
CWBC,Community West Bancshares,5.72,44987142.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cwbc
COB,CommunityOne Bancorp,8.49,184546051.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cob
CVLT,"CommVault Systems, Inc.",82.75,3867077717,n/a,2006,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cvlt
GSJK,"Compressco Partners, L.P.",19.35,300955639.1,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/gsjk
CGEN,Compugen Ltd.,9.64,369804378,n/a,1981,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cgen
CPSI,"Computer Programs and Systems, Inc.",56.62,627353110.4,n/a,2002,Technology,EDP Services,http://www.nasdaq.com/symbol/cpsi
CTG,"Computer Task Group, Incorporated",18.4,346393818.4,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ctg
CPWR,Compuware Corporation,11.11,2384746379,n/a,1992,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cpwr
SCOR,"comScore, Inc.",28.53,1017359629,n/a,1980,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/scor
CHCI,"Comstock Holding Companies, Inc.",2.19,45405907.29,n/a,2004,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/chci
CMTL,Comtech Telecommunications Corp.,25.71,421772370,n/a,1972,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/cmtl
CNSI,Comverse Inc.,30.26,671999736.8,n/a,1991,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cnsi
CNAT,Conatus Pharmaceuticals Inc.,8.91,138777571.4,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cnat
CNQR,"Concur Technologies, Inc.",96.66,5415678949,n/a,1998,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnqr
CCUR,Concurrent Computer Corporation,8.05,74269734.7,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/ccur
CNMD,CONMED Corporation,31.49,865669169.1,n/a,1987,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cnmd
CTWS,"Connecticut Water Service, Inc.",31.08,341989153,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/ctws
CNOB,"ConnectOne Bancorp, Inc.",34.38,172626862,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cnob
CONN,"Conn&#39;s, Inc.",62.93,2248669824,n/a,2003,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/conn
CNSL,"Consolidated Communications Holdings, Inc.",16.92,678686884.6,n/a,2005,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cnsl
CWCO,Consolidated Water Co. Ltd.,12.87,188448614.6,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/cwco
CTCT,"Constant Contact, Inc.",18.17,557467701.2,n/a,2007,Technology,Advertising,http://www.nasdaq.com/symbol/ctct
CPSS,"Consumer Portfolio Services, Inc.",5.91,127684007.5,n/a,1992,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cpss
CTRL,Control4 Corporation,19.59,432826690.5,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/ctrl
CPRT,"Copart, Inc.",32.72,4104515410,n/a,1994,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/cprt
CORT,Corcept Therapeutics Incorporated,1.56,155710230,n/a,1982,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cort
BVA,Cordia Bancorp Inc.,4.4,12238828.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bva
CORE,"Core-Mark Holding Company, Inc.",67.26,775057897.9,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/core
COCO,"Corinthian Colleges, Inc.",2.4,206834748,n/a,1999,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/coco
CSOD,"Cornerstone OnDemand, Inc.",50.91,2617303464,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/csod
CRTX,Cornerstone Therapeutics Inc.,9.39,252035431.3,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crtx
CNDO,"Coronado Biosciences, Inc.",7.47,238302965,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cndo
CRVL,CorVel Corp.,34.03,720715721,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/crvl
COSI,"Cosi, Inc.",2.32,42464043.44,n/a,2002,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/cosi
CSGP,"CoStar Group, Inc.",153.83,4403352061,n/a,1998,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/csgp
COST,Costco Wholesale Corporation,112.84,49275448852,n/a,1985,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/cost
CPAH,CounterPath Corporation,1.4,58243010,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cpah
CRRC,Courier Corporation,15.13,173393945.6,n/a,1972,Consumer Services,Publishing,http://www.nasdaq.com/symbol/crrc
CVTI,"Covenant Transportation Group, Inc.",5.76,85613673.6,n/a,1994,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/cvti
COWN,"Cowen Group, Inc.",3.57,422063457.1,n/a,2006,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cown
CRAI,"CRA International,Inc.",18.08,184024821.1,n/a,1998,Miscellaneous,Other Consumer Services,http://www.nasdaq.com/symbol/crai
CBRL,"Cracker Barrel Old Country Store, Inc.",100.74,2396184212,n/a,1981,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/cbrl
BREW,"Craft Brew Alliance, Inc.",10.17,192591741,n/a,1994,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/brew
CRAY,Cray Inc,25.78,1028717231,n/a,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/cray
CACC,Credit Acceptance Corporation,112.33,2615125187,n/a,1992,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cacc
GLDI,Credit Suisse AG,15.5999,210994918.7,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/gldi
SLVO,Credit Suisse AG,17.9581,14272577.1,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/slvo
CREE,"Cree, Inc.",56.67,6682746903,n/a,1993,Technology,Semiconductors,http://www.nasdaq.com/symbol/cree
CRESW,Cresud S.A.C.I.F. y A.,0.0488,0,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cresw
CRESY,Cresud S.A.C.I.F. y A.,8.18,406187716,n/a,1997,Finance,Real Estate,http://www.nasdaq.com/symbol/cresy
CXPO,Crimson Exploration Inc.,3.15,147016755.9,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cxpo
CROX,"Crocs, Inc.",13.34,1221850553,n/a,2006,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/crox
ATX,Cross (A.T.) Company,18.89,249699807.4,n/a,n/a,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/atx
CCRN,"Cross Country Healthcare, Inc.",5.87,182468785.6,n/a,2001,Technology,Professional Services,http://www.nasdaq.com/symbol/ccrn
CRDS,"Crossroads Systems, Inc.",1.69,20050445.61,n/a,1992,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/crds
XTXI,"Crosstex Energy, Inc.",19.18,915338226,n/a,2004,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/xtxi
XTEX,"Crosstex Energy, L.P.",19.09,1693062014,n/a,2002,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/xtex
CRWS,"Crown Crafts, Inc.",7.43,73100805.43,n/a,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/crws
CRWN,"Crown Media Holdings, Inc.",2.95,1061044011,n/a,1983,Consumer Services,Television Services,http://www.nasdaq.com/symbol/crwn
CRMB,"Crumbs Bake Shop, Inc.",1.11,13362349.83,n/a,n/a,Consumer Non-Durables,Food Chains,http://www.nasdaq.com/symbol/crmb
CRMBU,"Crumbs Bake Shop, Inc.",2.05,0,n/a,n/a,Consumer Non-Durables,Food Chains,http://www.nasdaq.com/symbol/crmbu
CRMBW,"Crumbs Bake Shop, Inc.",0.08,0,n/a,n/a,Consumer Non-Durables,Food Chains,http://www.nasdaq.com/symbol/crmbw
CSGS,"CSG Systems International, Inc.",24.75,836564602.5,n/a,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/csgs
CSPI,CSP Inc.,6.91,24148314.81,n/a,1982,Technology,EDP Services,http://www.nasdaq.com/symbol/cspi
CSRE,CSR plc,32.224,1331754471,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/csre
CTCM,"CTC Media, Inc.",10.92,1705969651,n/a,2006,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/ctcm
CTIB,CTI Industries Corporation,5.16,16763013.36,n/a,1997,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/ctib
CTRP,"Ctrip.com International, Ltd.",46.25,5985607290,n/a,2003,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ctrp
CUNB,CU Bancorp (CA),17.33,186105500.9,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cunb
CBST,"Cubist Pharmaceuticals, Inc.",62.72,4144740123,n/a,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cbst
CUI,"CUI Global, Inc.",5.93,121945486.6,n/a,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/cui
CPIX,Cumberland Pharmaceuticals Inc.,4.48,81831178.24,n/a,2009,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cpix
CMLS,Cumulus Media Inc.,4.49,800998224.1,n/a,1998,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/cmls
CRIS,"Curis, Inc.",4.08,333315347,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cris
CUBI,"Customers Bancorp, Inc",16.22,400017948.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cubi
CUBIL,"Customers Bancorp, Inc",25.5,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cubil
CUTR,"Cutera, Inc.",9.5,140796450.5,n/a,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cutr
CVBF,CVB Financial Corporation,13.35,1401751575,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cvbf
CVV,CVD Equipment Corporation,12.13,73656331.85,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cvv
CYAN,Cyanotech Corporation,5.9,32248149.2,n/a,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/cyan
CYBX,"Cyberonics, Inc.",53.51,1469037374,n/a,1993,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cybx
CYBE,CyberOptics Corporation,5.99,40955187.4,n/a,1987,Capital Goods,Electronic Components,http://www.nasdaq.com/symbol/cybe
CYCC,"Cyclacel Pharmaceuticals, Inc.",2.87,50842374.31,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cycc
CYCCP,"Cyclacel Pharmaceuticals, Inc.",6.06,2550423.72,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cyccp
CYNO,"Cynosure, Inc.",24.81,553382906.7,n/a,2005,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cyno
CY,Cypress Semiconductor Corporation,11.94,1782219706,n/a,1986,Technology,Semiconductors,http://www.nasdaq.com/symbol/cy
CONE,CyrusOne Inc,18.48,408781979.8,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cone
CYTK,"Cytokinetics, Incorporated",10.32,302917366.6,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cytk
CYTX,Cytori Therapeutics Inc,2.27,152624791.6,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cytx
CYTXW,Cytori Therapeutics Inc,0.8,0,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cytxw
CYTR,CytRx Corporation,2.29,69821083.24,n/a,1986,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cytr
DAEG,Daegis Inc,1.319,19412747.86,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/daeg
DJCO,Daily Journal Corp. (S.C.),139.88,193138750.5,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/djco
